delete,dq,matches_played,qual_average,rank,team_key,losses,wins,ties,ranking_score,cargo,hatch,hab,sandstorm_bonus,ranking_points
0,0,12,,1,frc1477,0,11,1,2.91,195,84,210,147,35
1,0,12,,2,frc6377,2,10,0,2.5,216,100,195,129,30
2,0,12,,3,frc4063,2,9,1,2.41,231,72,201,132,29
3,0,12,,4,frc1817,2,10,0,2.25,234,64,159,141,27
4,0,12,,5,frc7521,2,10,0,2.08,237,126,150,165,25
5,0,12,,6,frc7492,3,9,0,1.75,216,68,141,135,21
6,0,12,,7,frc4378,3,9,0,1.75,204,48,123,168,21
7,0,12,,8,frc5892,6,6,0,1.58,276,82,168,150,19
8,0,12,,9,frc457,4,7,1,1.58,237,80,120,132,19
9,0,12,,10,frc5572,4,7,1,1.41,237,72,117,153,17
10,0,12,,11,frc3240,5,7,0,1.41,225,78,123,168,17
11,0,12,,12,frc3997,5,7,0,1.33,219,60,114,165,16
12,0,12,,13,frc6682,5,6,1,1.33,201,136,132,132,16
13,0,12,,14,frc5960,5,6,1,1.25,240,66,108,168,15
14,0,12,,15,frc6180,6,5,1,1.25,141,84,120,132,15
15,0,12,,16,frc3345,6,6,0,1.16,228,68,114,144,14
16,0,12,,17,frc3035,6,6,0,1.16,222,64,123,147,14
17,0,12,,18,frc6935,4,5,3,1.16,213,58,105,135,14
18,0,12,,19,frc5986,5,5,2,1.16,207,24,117,141,14
19,0,12,,20,frc4734,6,5,1,1.16,204,48,129,138,14
20,0,12,,21,frc4694,7,5,0,1.16,192,52,126,144,14
21,0,12,,22,frc4639,6,6,0,1.16,174,78,99,132,14
22,0,12,,23,frc5894,6,4,2,1.08,219,56,132,126,13
23,0,12,,24,frc1164,6,5,1,1.08,192,66,96,156,13
24,0,12,,25,frc3545,7,5,0,1.08,186,44,111,159,13
25,0,12,,26,frc6800,7,5,0,1,231,106,99,129,12
26,0,12,,27,frc7750,7,4,1,1,183,54,114,156,12
27,0,12,,28,frc6830,7,5,0,1,177,50,108,147,12
28,0,12,,29,frc7264,8,4,0,1,138,38,123,144,12
29,0,12,,30,frc5427,7,5,0,0.91,243,78,102,126,11
30,0,12,,31,frc5726,7,4,1,0.91,186,62,102,117,11
31,0,12,,32,frc4219,7,5,0,0.91,174,70,105,162,11
32,0,12,,33,frc6315,8,4,0,0.83,213,52,117,132,10
33,0,12,,34,frc7088,7,4,1,0.83,213,46,105,162,10
34,0,12,,35,frc7063,8,3,1,0.83,186,48,108,144,10
35,0,12,,36,frc4332,7,4,1,0.83,183,48,87,162,10
36,0,12,,37,frc3481,8,4,0,0.75,222,86,105,159,9
37,0,12,,38,frc4412,9,3,0,0.75,183,72,111,102,9
38,0,12,,39,frc7138,8,3,1,0.58,204,56,84,132,7
39,0,12,,40,frc653,10,0,2,0.33,144,38,93,129,4
0,0,10,,1,frc359,0,10,0,2.8,252,100,147,117,28
1,0,10,,2,frc6485,1,9,0,2.8,198,84,156,132,28
2,0,10,,3,frc2122,2,8,0,2.6,255,88,141,114,26
3,0,10,,4,frc4627,1,9,0,2.6,249,102,147,135,26
4,0,10,,5,frc5015,3,7,0,2.1,207,96,159,111,21
5,0,10,,6,frc1622,3,6,1,2.1,162,52,165,132,21
6,0,10,,7,frc6351,4,6,0,1.8,207,80,111,99,18
7,0,10,,8,frc7591,3,7,0,1.8,180,74,123,108,18
8,0,10,,9,frc4774,4,6,0,1.8,153,50,132,111,18
9,0,10,,10,frc6188,5,5,0,1.7,204,62,147,132,17
10,0,10,,11,frc4334,3,7,0,1.6,210,80,102,141,16
