,dq,matches_played,rank,losses,wins,ties,ranking_score,cargo,hatch,hab,sandstorm_bonus,ranking_points
0,0,12,1,0,11,1,2.91,195,84,210,147,35
1,0,12,2,2,10,0,2.5,216,100,195,129,30
2,0,12,3,2,9,1,2.41,231,72,201,132,29
3,0,12,4,2,10,0,2.25,234,64,159,141,27
4,0,12,5,2,10,0,2.08,237,126,150,165,25
5,0,12,6,3,9,0,1.75,216,68,141,135,21
6,0,12,7,3,9,0,1.75,204,48,123,168,21
7,0,12,8,6,6,0,1.58,276,82,168,150,19
8,0,12,9,4,7,1,1.58,237,80,120,132,19
9,0,12,10,4,7,1,1.41,237,72,117,153,17
10,0,12,11,5,7,0,1.41,225,78,123,168,17
11,0,12,12,5,7,0,1.33,219,60,114,165,16
12,0,12,13,5,6,1,1.33,201,136,132,132,16
13,0,12,14,5,6,1,1.25,240,66,108,168,15
14,0,12,15,6,5,1,1.25,141,84,120,132,15
15,0,12,16,6,6,0,1.16,228,68,114,144,14
16,0,12,17,6,6,0,1.16,222,64,123,147,14
17,0,12,18,4,5,3,1.16,213,58,105,135,14
18,0,12,19,5,5,2,1.16,207,24,117,141,14
19,0,12,20,6,5,1,1.16,204,48,129,138,14
20,0,12,21,7,5,0,1.16,192,52,126,144,14
21,0,12,22,6,6,0,1.16,174,78,99,132,14
22,0,12,23,6,4,2,1.08,219,56,132,126,13
23,0,12,24,6,5,1,1.08,192,66,96,156,13
24,0,12,25,7,5,0,1.08,186,44,111,159,13
25,0,12,26,7,5,0,1,231,106,99,129,12
26,0,12,27,7,4,1,1,183,54,114,156,12
27,0,12,28,7,5,0,1,177,50,108,147,12
28,0,12,29,8,4,0,1,138,38,123,144,12
29,0,12,30,7,5,0,0.91,243,78,102,126,11
30,0,12,31,7,4,1,0.91,186,62,102,117,11
31,0,12,32,7,5,0,0.91,174,70,105,162,11
32,0,12,33,8,4,0,0.83,213,52,117,132,10
33,0,12,34,7,4,1,0.83,213,46,105,162,10
34,0,12,35,8,3,1,0.83,186,48,108,144,10
35,0,12,36,7,4,1,0.83,183,48,87,162,10
36,0,12,37,8,4,0,0.75,222,86,105,159,9
37,0,12,38,9,3,0,0.75,183,72,111,102,9
38,0,12,39,8,3,1,0.58,204,56,84,132,7
39,0,12,40,10,0,2,0.33,144,38,93,129,4
40,0,10,1,0,10,0,2.8,252,100,147,117,28
41,0,10,2,1,9,0,2.8,198,84,156,132,28
42,0,10,3,2,8,0,2.6,255,88,141,114,26
43,0,10,4,1,9,0,2.6,249,102,147,135,26
44,0,10,5,3,7,0,2.1,207,96,159,111,21
45,0,10,6,3,6,1,2.1,162,52,165,132,21
46,0,10,7,4,6,0,1.8,207,80,111,99,18
47,0,10,8,3,7,0,1.8,180,74,123,108,18
48,0,10,9,4,6,0,1.8,153,50,132,111,18
49,0,10,10,5,5,0,1.7,204,62,147,132,17
50,0,10,11,3,7,0,1.6,210,80,102,141,16
51,0,10,12,3,6,1,1.6,192,48,138,114,16
52,0,10,13,5,5,0,1.5,171,60,108,138,15
53,0,10,14,5,5,0,1.5,171,50,114,141,15
54,0,10,15,4,6,0,1.5,168,54,108,99,15
55,0,10,16,5,4,1,1.4,162,56,117,105,14
56,1,10,17,4,5,0,1.4,150,74,120,99,14
57,0,10,18,4,6,0,1.4,147,40,93,108,14
58,0,10,19,5,5,0,1.3,168,90,90,105,13
59,0,10,20,6,4,0,1.3,135,46,138,108,13
60,0,10,21,6,4,0,1.3,123,60,135,132,13
61,0,10,22,6,4,0,1.3,111,36,108,117,13
62,0,10,23,5,5,0,1.1,147,72,81,135,11
63,0,10,24,6,3,1,1.1,135,70,108,117,11
64,0,10,25,6,4,0,1.1,123,44,84,93,11
65,0,10,26,6,4,0,1,198,58,90,108,10
66,0,10,27,5,5,0,1,171,42,87,117,10
67,0,10,28,5,4,1,1,159,38,90,141,10
68,0,10,29,7,3,0,0.9,168,40,108,126,9
69,0,10,30,7,3,0,0.8,177,44,84,108,8
70,0,10,31,6,3,1,0.8,162,62,69,114,8
71,0,10,32,7,3,0,0.8,120,58,87,108,8
72,0,10,33,7,3,0,0.8,108,62,78,117,8
73,0,10,34,7,3,0,0.7,153,40,72,99,7
74,0,10,35,7,3,0,0.7,93,56,78,108,7
75,1,10,36,7,2,0,0.5,132,54,51,87,5
76,0,10,37,10,0,0,0.1,129,34,69,99,1
77,0,10,1,1,9,0,2.8,246,112,159,129,28
78,0,10,2,1,9,0,2.8,216,86,174,96,28
79,0,10,3,1,9,0,2.7,255,98,162,138,27
80,0,10,4,1,9,0,2.6,252,112,120,138,26
81,0,10,5,2,7,1,2.6,153,94,168,132,26
82,0,10,6,2,8,0,2.5,201,84,162,99,25
83,0,10,7,3,7,0,2.5,162,124,174,135,25
84,0,10,8,1,9,0,2.5,159,134,138,144,25
85,0,10,9,2,7,1,2.1,165,114,141,117,21
86,0,10,10,1,9,0,2,189,76,96,132,20
87,0,10,11,2,8,0,2,189,66,93,123,20
88,0,10,12,4,6,0,1.8,150,68,156,132,18
89,0,10,13,4,6,0,1.8,132,60,144,129,18
90,0,10,14,4,6,0,1.7,168,74,105,117,17
91,0,10,15,4,6,0,1.7,108,68,114,87,17
92,0,10,16,5,5,0,1.5,204,88,108,123,15
93,0,10,17,4,6,0,1.5,183,70,120,108,15
94,0,10,18,4,6,0,1.5,153,52,99,123,15
95,0,10,19,4,6,0,1.4,195,78,90,117,14
96,0,10,20,4,5,1,1.4,141,60,102,129,14
97,0,10,21,3,6,1,1.3,231,56,66,126,13
98,0,10,22,5,5,0,1.3,222,66,132,117,13
